Unnamed: 0,Content ID,Unnamed: 2,Type,Datetime,Category,Sentiment,Score
88,230c4e4d-70c3-461d-b42c-ec09396efb3f,,disgust,2020-04-08 05:40:00,healthy eating,negative,0
89,230c4e4d-70c3-461d-b42c-ec09396efb3f,,adore,2020-07-08 04:09:00,healthy eating,positive,72
92,230c4e4d-70c3-461d-b42c-ec09396efb3f,,worried,2020-04-08 19:26:00,healthy eating,negative,12
93,230c4e4d-70c3-461d-b42c-ec09396efb3f,,interested,2020-12-11 04:54:00,healthy eating,positive,30
95,356fff80-da4d-4785-9f43-bc1261031dc6,,worried,2021-03-04 12:17:00,technology,negative,12
99,356fff80-da4d-4785-9f43-bc1261031dc6,,heart,2021-07-05 09:16:00,technology,positive,60
106,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,,hate,2021-02-05 03:45:00,cooking,negative,5
109,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,,dislike,2020-04-11 21:25:00,cooking,negative,10
112,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,,interested,2021-03-01 08:44:00,cooking,positive,30
114,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,,like,2020-03-12 16:47:00,cooking,positive,50
117,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,,indifferent,2021-06-01 00:35:00,cooking,neutral,20
123,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,,intrigued,2020-07-12 22:50:00,cooking,positive,45
125,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,,peeking,2020-01-09 21:18:00,cooking,neutral,35
126,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,,adore,2021-10-05 22:07:00,cooking,positive,72
128,3f8590c7-6ab2-4973-805a-90cdec355f05,,cherish,2021-12-02 16:37:00,dogs,positive,70
137,3f8590c7-6ab2-4973-805a-90cdec355f05,,indifferent,2020-08-11 10:53:00,dogs,neutral,20
138,3f8590c7-6ab2-4973-805a-90cdec355f05,,heart,2021-06-03 05:23:00,dogs,positive,60
140,3f8590c7-6ab2-4973-805a-90cdec355f05,,want,2020-06-09 22:35:00,dogs,positive,70
142,3f8590c7-6ab2-4973-805a-90cdec355f05,,hate,2021-07-02 21:39:00,dogs,negative,5
146,3f8590c7-6ab2-4973-805a-90cdec355f05,,cherish,2020-03-08 06:29:00,dogs,positive,70
147,3f8590c7-6ab2-4973-805a-90cdec355f05,,scared,2020-02-08 06:20:00,dogs,negative,15
148,3f8590c7-6ab2-4973-805a-90cdec355f05,,want,2021-04-06 04:57:00,dogs,positive,70
151,3f8590c7-6ab2-4973-805a-90cdec355f05,,scared,2021-02-03 22:47:00,dogs,negative,15
155,3f8590c7-6ab2-4973-805a-90cdec355f05,,scared,2021-11-02 03:51:00,dogs,negative,15
156,3f8590c7-6ab2-4973-805a-90cdec355f05,,interested,2020-07-12 19:07:00,dogs,positive,30
161,3f8590c7-6ab2-4973-805a-90cdec355f05,,heart,2020-11-07 05:51:00,dogs,positive,60
163,3f8590c7-6ab2-4973-805a-90cdec355f05,,interested,2020-11-10 18:31:00,dogs,positive,30
164,3f8590c7-6ab2-4973-805a-90cdec355f05,,heart,2020-02-11 20:15:00,dogs,positive,60
165,3f8590c7-6ab2-4973-805a-90cdec355f05,,want,2020-01-10 03:35:00,dogs,positive,70
166,3f8590c7-6ab2-4973-805a-90cdec355f05,,disgust,2021-11-02 20:10:00,dogs,negative,0
167,3f8590c7-6ab2-4973-805a-90cdec355f05,,want,2021-07-02 15:59:00,dogs,positive,70
169,3f8590c7-6ab2-4973-805a-90cdec355f05,,like,2020-09-08 19:41:00,dogs,positive,50
170,3f8590c7-6ab2-4973-805a-90cdec355f05,,love,2021-01-02 02:40:00,dogs,positive,65
174,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,,super love,2021-05-02 17:00:00,technology,positive,75
180,0bedca96-fb76-4287-a83c-17330ed39cce,,worried,2021-02-01 16:46:00,soccer,negative,12
183,0bedca96-fb76-4287-a83c-17330ed39cce,,hate,2021-01-02 00:15:00,soccer,negative,5
184,0bedca96-fb76-4287-a83c-17330ed39cce,,love,2021-04-06 14:36:00,soccer,positive,65
195,b18cb63f-4c8e-44ee-a47f-541e95191d11,,like,2020-02-11 06:09:00,public speaking,positive,50
197,b18cb63f-4c8e-44ee-a47f-541e95191d11,,heart,2020-07-09 14:42:00,public speaking,positive,60
198,b18cb63f-4c8e-44ee-a47f-541e95191d11,,scared,2021-04-03 02:46:00,public speaking,negative,15
199,b18cb63f-4c8e-44ee-a47f-541e95191d11,,adore,2021-07-01 14:08:00,public speaking,positive,72
200,b18cb63f-4c8e-44ee-a47f-541e95191d11,,peeking,2020-06-07 11:18:00,public speaking,neutral,35
207,b18cb63f-4c8e-44ee-a47f-541e95191d11,,super love,2021-07-04 03:15:00,public speaking,positive,75
218,b18cb63f-4c8e-44ee-a47f-541e95191d11,,like,2020-08-10 17:23:00,public speaking,positive,50
219,b18cb63f-4c8e-44ee-a47f-541e95191d11,,heart,2020-12-11 23:55:00,public speaking,positive,60
221,b18cb63f-4c8e-44ee-a47f-541e95191d11,,intrigued,2020-09-07 08:58:00,public speaking,positive,45
226,b18cb63f-4c8e-44ee-a47f-541e95191d11,,scared,2021-07-01 18:39:00,public speaking,negative,15
227,b18cb63f-4c8e-44ee-a47f-541e95191d11,,adore,2020-01-10 15:10:00,public speaking,positive,72
231,b18cb63f-4c8e-44ee-a47f-541e95191d11,,want,2020-01-12 15:06:00,public speaking,positive,70
232,b18cb63f-4c8e-44ee-a47f-541e95191d11,,scared,2020-07-11 00:47:00,public speaking,negative,15
235,5118e9c5-1377-4cc5-a486-65b35b7b7b76,,heart,2020-04-08 03:09:00,science,positive,60
238,5118e9c5-1377-4cc5-a486-65b35b7b7b76,,worried,2020-05-07 03:37:00,science,negative,12
243,5118e9c5-1377-4cc5-a486-65b35b7b7b76,,love,2020-02-08 21:20:00,science,positive,65
245,5118e9c5-1377-4cc5-a486-65b35b7b7b76,,heart,2020-12-10 09:40:00,science,positive,60
246,5118e9c5-1377-4cc5-a486-65b35b7b7b76,,want,2020-12-12 12:22:00,science,positive,70
247,5118e9c5-1377-4cc5-a486-65b35b7b7b76,,like,2021-09-01 16:37:00,science,positive,50
250,5118e9c5-1377-4cc5-a486-65b35b7b7b76,,disgust,2020-07-11 08:49:00,science,negative,0
254,5118e9c5-1377-4cc5-a486-65b35b7b7b76,,intrigued,2020-06-07 02:08:00,science,positive,45
261,0be59876-d70c-486c-8e0b-a06bef7a2cd6,,super love,2020-03-09 01:15:00,tennis,positive,75
262,0be59876-d70c-486c-8e0b-a06bef7a2cd6,,worried,2021-09-01 10:46:00,tennis,negative,12
271,0be59876-d70c-486c-8e0b-a06bef7a2cd6,,hate,2021-08-05 13:47:00,tennis,negative,5
272,0be59876-d70c-486c-8e0b-a06bef7a2cd6,,heart,2020-06-11 02:36:00,tennis,positive,60
274,0be59876-d70c-486c-8e0b-a06bef7a2cd6,,worried,2020-04-12 00:56:00,tennis,negative,12
276,0be59876-d70c-486c-8e0b-a06bef7a2cd6,,hate,2020-05-07 05:50:00,tennis,negative,5
278,0be59876-d70c-486c-8e0b-a06bef7a2cd6,,heart,2021-11-01 06:02:00,tennis,positive,60
280,0be59876-d70c-486c-8e0b-a06bef7a2cd6,,intrigued,2020-06-12 13:45:00,tennis,positive,45
281,0be59876-d70c-486c-8e0b-a06bef7a2cd6,,peeking,2021-05-05 09:54:00,tennis,neutral,35
285,0be59876-d70c-486c-8e0b-a06bef7a2cd6,,intrigued,2021-01-03 20:26:00,tennis,positive,45
292,0be59876-d70c-486c-8e0b-a06bef7a2cd6,,heart,2020-09-11 08:23:00,tennis,positive,60
293,0be59876-d70c-486c-8e0b-a06bef7a2cd6,,hate,2021-12-05 20:45:00,tennis,negative,5
296,0be59876-d70c-486c-8e0b-a06bef7a2cd6,,disgust,2020-11-09 16:22:00,tennis,negative,0
299,0be59876-d70c-486c-8e0b-a06bef7a2cd6,,dislike,2020-03-12 08:08:00,tennis,negative,10
301,0be59876-d70c-486c-8e0b-a06bef7a2cd6,,want,2020-04-12 10:04:00,tennis,positive,70
303,0be59876-d70c-486c-8e0b-a06bef7a2cd6,,hate,2021-04-05 19:40:00,tennis,negative,5
306,81abd65a-3b76-4574-a0a7-db6bf7184ae2,,love,2021-06-01 06:08:00,food,positive,65
316,81abd65a-3b76-4574-a0a7-db6bf7184ae2,,disgust,2020-08-12 13:12:00,food,negative,0
317,81abd65a-3b76-4574-a0a7-db6bf7184ae2,,scared,2020-04-11 21:06:00,food,negative,15
319,81abd65a-3b76-4574-a0a7-db6bf7184ae2,,disgust,2021-05-01 13:15:00,food,negative,0
322,81abd65a-3b76-4574-a0a7-db6bf7184ae2,,disgust,2020-08-11 02:43:00,food,negative,0
324,81abd65a-3b76-4574-a0a7-db6bf7184ae2,,heart,2020-04-11 14:58:00,food,positive,60
326,81abd65a-3b76-4574-a0a7-db6bf7184ae2,,peeking,2021-07-03 06:31:00,food,neutral,35
330,81abd65a-3b76-4574-a0a7-db6bf7184ae2,,like,2020-05-10 13:55:00,food,positive,50
335,81abd65a-3b76-4574-a0a7-db6bf7184ae2,,dislike,2021-03-05 23:10:00,food,negative,10
336,81abd65a-3b76-4574-a0a7-db6bf7184ae2,,intrigued,2021-12-02 04:23:00,food,positive,45
338,81abd65a-3b76-4574-a0a7-db6bf7184ae2,,indifferent,2021-11-01 08:47:00,food,neutral,20
339,81abd65a-3b76-4574-a0a7-db6bf7184ae2,,super love,2020-02-08 20:28:00,food,positive,75
342,81abd65a-3b76-4574-a0a7-db6bf7184ae2,,super love,2021-11-02 04:02:00,food,positive,75
343,81abd65a-3b76-4574-a0a7-db6bf7184ae2,,heart,2020-12-08 23:43:00,food,positive,60
344,81abd65a-3b76-4574-a0a7-db6bf7184ae2,,scared,2021-07-01 02:48:00,food,negative,15
347,81abd65a-3b76-4574-a0a7-db6bf7184ae2,,super love,2021-08-06 10:45:00,food,positive,75
349,81abd65a-3b76-4574-a0a7-db6bf7184ae2,,super love,2020-05-11 13:54:00,food,positive,75
352,81abd65a-3b76-4574-a0a7-db6bf7184ae2,,peeking,2021-01-04 12:04:00,food,neutral,35
355,e6ee2244-9382-49a9-8cbf-fa54aaaa2392,,intrigued,2021-03-03 18:40:00,travel,positive,45
358,7ffd0a82-4a0a-4527-a4d6-e251b756bac7,,like,2021-12-02 05:48:00,fitness,positive,50
359,7ffd0a82-4a0a-4527-a4d6-e251b756bac7,,disgust,2021-08-02 03:28:00,fitness,negative,0
360,7ffd0a82-4a0a-4527-a4d6-e251b756bac7,,interested,2021-02-04 07:49:00,fitness,positive,30
364,7ffd0a82-4a0a-4527-a4d6-e251b756bac7,,cherish,2020-10-08 13:42:00,fitness,positive,70
367,f332d362-dc48-46c2-a64b-641157c0987e,,interested,2020-12-12 15:31:00,soccer,positive,30
373,a2e93b29-9259-4092-a4d7-62d5e823bb74,,hate,2020-08-09 14:01:00,public speaking,negative,5
377,a2e93b29-9259-4092-a4d7-62d5e823bb74,,hate,2021-08-01 12:46:00,public speaking,negative,5
378,a2e93b29-9259-4092-a4d7-62d5e823bb74,,want,2020-07-09 06:55:00,public speaking,positive,70
381,a2e93b29-9259-4092-a4d7-62d5e823bb74,,love,2020-09-11 00:34:00,public speaking,positive,65
382,a2e93b29-9259-4092-a4d7-62d5e823bb74,,like,2020-03-09 13:36:00,public speaking,positive,50
383,a2e93b29-9259-4092-a4d7-62d5e823bb74,,indifferent,2021-01-02 04:49:00,public speaking,neutral,20
385,a2e93b29-9259-4092-a4d7-62d5e823bb74,,love,2021-12-01 11:57:00,public speaking,positive,65
386,a2e93b29-9259-4092-a4d7-62d5e823bb74,,dislike,2020-02-11 22:53:00,public speaking,negative,10
387,a2e93b29-9259-4092-a4d7-62d5e823bb74,,heart,2021-08-03 00:05:00,public speaking,positive,60
394,a2e93b29-9259-4092-a4d7-62d5e823bb74,,want,2021-11-03 23:55:00,public speaking,positive,70
396,a2e93b29-9259-4092-a4d7-62d5e823bb74,,adore,2021-12-04 17:12:00,public speaking,positive,72
398,a2e93b29-9259-4092-a4d7-62d5e823bb74,,disgust,2021-09-06 09:41:00,public speaking,negative,0
401,a2e93b29-9259-4092-a4d7-62d5e823bb74,,super love,2020-07-10 16:03:00,public speaking,positive,75
402,a2e93b29-9259-4092-a4d7-62d5e823bb74,,scared,2020-07-10 01:24:00,public speaking,negative,15
403,a2e93b29-9259-4092-a4d7-62d5e823bb74,,scared,2021-11-01 16:13:00,public speaking,negative,15
408,a2e93b29-9259-4092-a4d7-62d5e823bb74,,super love,2021-05-05 15:38:00,public speaking,positive,75
413,9b3a6d30-48e8-476c-82be-9031524bd04d,,hate,2020-05-10 18:00:00,food,negative,5
415,9b3a6d30-48e8-476c-82be-9031524bd04d,,hate,2021-12-01 12:14:00,food,negative,5
418,9b3a6d30-48e8-476c-82be-9031524bd04d,,worried,2021-05-06 10:04:00,food,negative,12
422,9b3a6d30-48e8-476c-82be-9031524bd04d,,like,2021-04-06 16:57:00,food,positive,50
423,9b3a6d30-48e8-476c-82be-9031524bd04d,,disgust,2021-01-01 11:23:00,food,negative,0
426,9b3a6d30-48e8-476c-82be-9031524bd04d,,adore,2020-07-11 01:54:00,food,positive,72
427,9b3a6d30-48e8-476c-82be-9031524bd04d,,like,2020-11-08 12:01:00,food,positive,50
429,9b3a6d30-48e8-476c-82be-9031524bd04d,,scared,2020-08-10 08:38:00,food,negative,15
430,9b3a6d30-48e8-476c-82be-9031524bd04d,,indifferent,2021-05-02 13:05:00,food,neutral,20
431,9b3a6d30-48e8-476c-82be-9031524bd04d,,indifferent,2020-09-11 03:05:00,food,neutral,20
435,9b3a6d30-48e8-476c-82be-9031524bd04d,,worried,2021-04-02 13:45:00,food,negative,12
436,9b3a6d30-48e8-476c-82be-9031524bd04d,,intrigued,2020-01-08 23:38:00,food,positive,45
441,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,,disgust,2021-10-04 09:41:00,tennis,negative,0
442,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,,worried,2021-06-04 19:56:00,tennis,negative,12
443,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,,worried,2021-05-04 16:42:00,tennis,negative,12
445,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,,heart,2021-06-03 10:03:00,tennis,positive,60
446,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,,hate,2020-12-10 01:42:00,tennis,negative,5
448,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,,scared,2021-07-06 12:44:00,tennis,negative,15
450,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,,love,2021-08-05 11:21:00,tennis,positive,65
457,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,,like,2020-06-07 00:08:00,tennis,positive,50
461,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,,hate,2021-11-02 08:54:00,tennis,negative,5
462,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,,intrigued,2020-03-08 17:58:00,tennis,positive,45
468,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,,like,2021-04-04 01:34:00,tennis,positive,50
469,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,,indifferent,2021-03-02 18:41:00,tennis,neutral,20
470,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,,disgust,2020-06-10 10:20:00,tennis,negative,0
471,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,,interested,2020-07-11 17:59:00,tennis,positive,30
477,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,,adore,2021-08-05 18:54:00,tennis,positive,72
486,baa2db00-81ba-4c34-b17d-dd950bfa133b,,intrigued,2021-03-04 05:44:00,soccer,positive,45
491,baa2db00-81ba-4c34-b17d-dd950bfa133b,,cherish,2021-11-05 19:35:00,soccer,positive,70
492,baa2db00-81ba-4c34-b17d-dd950bfa133b,,indifferent,2021-02-04 19:50:00,soccer,neutral,20
494,baa2db00-81ba-4c34-b17d-dd950bfa133b,,scared,2020-05-08 16:00:00,soccer,negative,15
497,baa2db00-81ba-4c34-b17d-dd950bfa133b,,love,2021-09-06 03:55:00,soccer,positive,65
498,baa2db00-81ba-4c34-b17d-dd950bfa133b,,cherish,2020-07-09 15:21:00,soccer,positive,70
499,baa2db00-81ba-4c34-b17d-dd950bfa133b,,dislike,2020-08-08 00:29:00,soccer,negative,10
507,baa2db00-81ba-4c34-b17d-dd950bfa133b,,like,2021-05-02 15:30:00,soccer,positive,50
508,baa2db00-81ba-4c34-b17d-dd950bfa133b,,cherish,2020-10-12 05:51:00,soccer,positive,70
511,baa2db00-81ba-4c34-b17d-dd950bfa133b,,like,2020-12-11 17:49:00,soccer,positive,50
512,baa2db00-81ba-4c34-b17d-dd950bfa133b,,disgust,2021-09-03 21:30:00,soccer,negative,0
514,baa2db00-81ba-4c34-b17d-dd950bfa133b,,super love,2021-12-06 22:03:00,soccer,positive,75
516,f98dde71-ce1d-4f6c-bb05-ae05779d2207,,super love,2020-02-08 18:35:00,soccer,positive,75
518,f98dde71-ce1d-4f6c-bb05-ae05779d2207,,disgust,2020-12-12 23:02:00,soccer,negative,0
520,f98dde71-ce1d-4f6c-bb05-ae05779d2207,,like,2020-07-10 09:31:00,soccer,positive,50
521,f98dde71-ce1d-4f6c-bb05-ae05779d2207,,like,2021-11-03 14:45:00,soccer,positive,50
523,f98dde71-ce1d-4f6c-bb05-ae05779d2207,,peeking,2021-03-01 04:02:00,soccer,neutral,35
528,f98dde71-ce1d-4f6c-bb05-ae05779d2207,,adore,2020-07-09 11:48:00,soccer,positive,72
529,f98dde71-ce1d-4f6c-bb05-ae05779d2207,,interested,2021-06-02 13:18:00,soccer,positive,30
539,f98dde71-ce1d-4f6c-bb05-ae05779d2207,,indifferent,2021-03-06 19:13:00,soccer,neutral,20
541,f98dde71-ce1d-4f6c-bb05-ae05779d2207,,indifferent,2020-08-09 07:08:00,soccer,neutral,20
542,f98dde71-ce1d-4f6c-bb05-ae05779d2207,,dislike,2020-02-12 08:56:00,soccer,negative,10
548,f98dde71-ce1d-4f6c-bb05-ae05779d2207,,cherish,2020-06-12 14:59:00,soccer,positive,70
555,388bd9db-9d10-4f47-87c4-6db46e83bc95,,like,2021-03-04 23:11:00,education,positive,50
559,388bd9db-9d10-4f47-87c4-6db46e83bc95,,dislike,2020-03-10 13:46:00,education,negative,10
560,388bd9db-9d10-4f47-87c4-6db46e83bc95,,like,2020-09-08 07:58:00,education,positive,50
564,388bd9db-9d10-4f47-87c4-6db46e83bc95,,cherish,2021-12-03 00:42:00,education,positive,70
567,388bd9db-9d10-4f47-87c4-6db46e83bc95,,like,2021-03-06 12:45:00,education,positive,50
570,388bd9db-9d10-4f47-87c4-6db46e83bc95,,indifferent,2020-04-12 16:38:00,education,neutral,20
574,78d0075f-895c-4a15-a35c-a921e2bb2cea,,want,2020-11-09 19:13:00,studying,positive,70
579,78d0075f-895c-4a15-a35c-a921e2bb2cea,,cherish,2020-01-08 02:18:00,studying,positive,70
580,78d0075f-895c-4a15-a35c-a921e2bb2cea,,adore,2021-02-05 01:43:00,studying,positive,72
581,78d0075f-895c-4a15-a35c-a921e2bb2cea,,love,2021-09-06 12:33:00,studying,positive,65
583,78d0075f-895c-4a15-a35c-a921e2bb2cea,,intrigued,2021-12-04 16:22:00,studying,positive,45
584,78d0075f-895c-4a15-a35c-a921e2bb2cea,,adore,2020-06-07 18:54:00,studying,positive,72
587,78d0075f-895c-4a15-a35c-a921e2bb2cea,,cherish,2021-11-06 09:36:00,studying,positive,70
589,78d0075f-895c-4a15-a35c-a921e2bb2cea,,love,2021-06-03 20:42:00,studying,positive,65
593,78d0075f-895c-4a15-a35c-a921e2bb2cea,,adore,2021-11-05 02:06:00,studying,positive,72
594,78d0075f-895c-4a15-a35c-a921e2bb2cea,,peeking,2020-06-09 02:58:00,studying,neutral,35
595,78d0075f-895c-4a15-a35c-a921e2bb2cea,,love,2020-04-12 07:19:00,studying,positive,65
596,78d0075f-895c-4a15-a35c-a921e2bb2cea,,worried,2020-12-07 18:21:00,studying,negative,12
597,78d0075f-895c-4a15-a35c-a921e2bb2cea,,indifferent,2021-09-01 09:06:00,studying,neutral,20
599,78d0075f-895c-4a15-a35c-a921e2bb2cea,,heart,2021-05-04 13:43:00,studying,positive,60
600,78d0075f-895c-4a15-a35c-a921e2bb2cea,,love,2020-10-09 03:38:00,studying,positive,65
603,78d0075f-895c-4a15-a35c-a921e2bb2cea,,love,2021-02-03 00:46:00,studying,positive,65
604,78d0075f-895c-4a15-a35c-a921e2bb2cea,,like,2021-08-01 14:35:00,studying,positive,50
605,78d0075f-895c-4a15-a35c-a921e2bb2cea,,scared,2020-11-10 09:52:00,studying,negative,15
606,78d0075f-895c-4a15-a35c-a921e2bb2cea,,heart,2021-01-02 06:48:00,studying,positive,60
607,78d0075f-895c-4a15-a35c-a921e2bb2cea,,disgust,2020-07-12 00:39:00,studying,negative,0
608,78d0075f-895c-4a15-a35c-a921e2bb2cea,,like,2020-09-08 19:37:00,studying,positive,50
610,78d0075f-895c-4a15-a35c-a921e2bb2cea,,scared,2021-02-06 06:53:00,studying,negative,15
611,78d0075f-895c-4a15-a35c-a921e2bb2cea,,heart,2021-08-01 19:20:00,studying,positive,60
612,78d0075f-895c-4a15-a35c-a921e2bb2cea,,like,2020-03-12 07:55:00,studying,positive,50
613,78d0075f-895c-4a15-a35c-a921e2bb2cea,,disgust,2021-07-04 22:07:00,studying,negative,0
614,78d0075f-895c-4a15-a35c-a921e2bb2cea,,disgust,2020-06-07 19:29:00,studying,negative,0
615,78d0075f-895c-4a15-a35c-a921e2bb2cea,,cherish,2020-11-11 14:07:00,studying,positive,70
616,78d0075f-895c-4a15-a35c-a921e2bb2cea,,intrigued,2021-10-04 21:27:00,studying,positive,45
620,78d0075f-895c-4a15-a35c-a921e2bb2cea,,adore,2021-08-06 23:06:00,studying,positive,72
627,bda0b065-7f8b-4d52-b7e9-fcc375cdab08,,want,2020-09-12 20:38:00,travel,positive,70
628,bda0b065-7f8b-4d52-b7e9-fcc375cdab08,,indifferent,2021-01-02 11:27:00,travel,neutral,20
629,bda0b065-7f8b-4d52-b7e9-fcc375cdab08,,love,2020-06-12 06:38:00,travel,positive,65
631,bda0b065-7f8b-4d52-b7e9-fcc375cdab08,,heart,2020-12-10 07:35:00,travel,positive,60
632,bda0b065-7f8b-4d52-b7e9-fcc375cdab08,,peeking,2020-06-12 22:28:00,travel,neutral,35
634,bda0b065-7f8b-4d52-b7e9-fcc375cdab08,,disgust,2020-11-09 20:55:00,travel,negative,0
637,bda0b065-7f8b-4d52-b7e9-fcc375cdab08,,want,2020-04-11 17:10:00,travel,positive,70
640,bda0b065-7f8b-4d52-b7e9-fcc375cdab08,,adore,2021-03-04 17:52:00,travel,positive,72
644,a4067fb5-3ba8-4f97-87c2-ddad5e4029c2,,dislike,2020-06-08 13:32:00,food,negative,10
645,a4067fb5-3ba8-4f97-87c2-ddad5e4029c2,,worried,2021-05-05 08:51:00,food,negative,12
646,a4067fb5-3ba8-4f97-87c2-ddad5e4029c2,,indifferent,2021-10-05 20:46:00,food,neutral,20
649,a4067fb5-3ba8-4f97-87c2-ddad5e4029c2,,peeking,2021-03-02 11:48:00,food,neutral,35
